row_number,visitor_id,search_timestamp,category,pro_user_id,num_reviews,avg_rating,pro_last_active_time_before_search,cost_estimate_cents,result_position,service_page_viewed
14478,344206966395084000,2018-11-27 21:02:47.268 UTC,House Cleaning,307576262897410000,20,4.2,2018-11-24 02:47:23.913 UTC,6800,3,FALSE
16293,343931570367135000,2018-11-24 16:32:51.137 UTC,House Cleaning,307576262897410000,20,4.2,2018-11-24 02:47:23.913 UTC,7500,4,TRUE
5105,344284444939853000,2018-11-28 18:34:05.572 UTC,Local Moving (under 50 miles),261183466660021000,20,4.85,2018-11-28 01:04:07.486 UTC,11500,2,FALSE
9464,340469771558387000,2018-10-15 14:56:12.268 UTC,House Cleaning,335237635164430000,20,4.25,2018-10-14 19:56:15.702 UTC,5000,3,FALSE
6578,343162319138013000,2018-11-15 18:51:59.957 UTC,House Cleaning,114562371879093000,20,5,2018-02-03 00:19:26.063 UTC,14500,6,FALSE
19055,343854393420234000,2018-11-23 19:06:34.038 UTC,Local Moving (under 50 miles),330872029510189000,20,4.95,2018-11-23 18:54:55.219 UTC,15000,2,FALSE
20255,339703683338838000,2018-10-06 18:08:04.125 UTC,House Cleaning,96415795971392700,20,4.7,2018-10-01 21:03:23.247 UTC,15000,7,FALSE
606,343351092031488000,2018-11-17 23:18:12.674 UTC,House Cleaning,340076857207890000,20,4.7,2018-11-16 16:04:36.625 UTC,100,1,FALSE
3995,344454264625184000,2018-11-30 17:44:25.268 UTC,House Cleaning,340140891324252000,20,4.7,2018-11-30 17:23:09.173 UTC,10000,7,TRUE
21390,344224389037539000,2018-11-28 01:53:09.764 UTC,House Cleaning,340140891324252000,20,4.7,2018-11-27 14:41:20.21 UTC,10000,5,FALSE
2171,343556631247683000,2018-11-20 08:23:51.684 UTC,Local Moving (under 50 miles),331396323430498000,20,4.95,2018-11-20 03:45:31.001 UTC,10000,1,FALSE
8651,343001855214903000,2018-11-13 22:17:35.818 UTC,Local Moving (under 50 miles),331396323430498000,20,4.95,2018-11-13 17:23:38.172 UTC,10000,2,TRUE
9887,343502932798947000,2018-11-19 17:28:53.122 UTC,Local Moving (under 50 miles),331396323430498000,20,4.95,2018-11-19 16:02:32.629 UTC,10000,1,FALSE
